code_postale;label;lat;long
06440;blausasc;43.79408163;7.360684718
06460;caussols;43.737294101;6.90330973
06480;la colle sur loup;43.686966601;7.097388889
06440;l escarene;43.834043043;7.366037805
06470;guillaumes;44.088264348;6.875178465
06450;lantosque;43.970853507;7.304565835
06450;roquebilliere;44.027164485;7.292560994
04000;entrages;44.038097556;6.268584989
04700;lurs;43.969893351;5.88003029
04700;puimichel;43.979161836;6.025008509
06420;clans;44.004753796;7.178896018
06470;daluis;44.038701304;6.799744015
06420;roubion;44.108215666;7.02806965
06420;roure;44.1191026;7.066728106
06470;st martin d entraunes;44.149352889;6.746033616
06460;st vallier de thiey;43.6968824;6.850884925
13190;allauch;43.353259041;5.5113703560000005
13390;auriol;43.360824036;5.658498886
13121;aurons;43.671408402;5.14893774
13720;belcodene;43.421806693;5.584397782
13320;bouc bel air;43.447273393;5.412533849
13720;la bouilladisse;43.397035096;5.620221036
13160;chateaurenard;43.882096929;4.8396491820000005
13510;eguilles;43.570986663;5.328913604
13580;la fare les oliviers;43.5545516;5.202525748
13270;fos sur mer;43.456073172;4.90416812
13120;gardanne;43.452893946;5.480110629
13420;gemenos;43.298134475;5.644392559
13180;gignac la nerthe;43.390574029;5.22802949
13850;greasque;43.426728408;5.547134777
13410;lambesc;43.661719049;5.252274284
13500;martigues;43.379764276;5.049565722
13103;mas blanc des alpilles;43.787868348;4.763570465
13890;mouries;43.70113076;4.890903821
13640;la roque d antheron;43.717584796;5.301421636
13740;le rove;43.365099362;5.253038921
13250;st chamas;43.543835328;5.072933506
13115;st paul les durance;43.685505267;5.7535265550000005
13119;st savournin;43.405411505;5.530991972
13530;trets;43.437815697;5.700181464
13116;vernegues;43.684090305;5.188342015
13127;vitrolles;43.449805347;5.263415824
13006;marseille;43.28692858;5.38060836
13008;marseille;43.237719202;5.374853726
13009;marseille;43.234464779;5.452743942
13013;marseille;43.349979361;5.4338477
13016;marseille;43.365354094;5.313224654
13080;aix en provence;43.536112304;5.398630399
13100;aix en provence;43.536112304;5.398630399
13980;alleins;43.707442219;5.151455
13104;arles;43.546935152;4.661799679
13930;aureille;43.699234246;4.945119894
13570;barbentane;43.894767545;4.749594272
13520;les baux de provence;43.745580575;4.802725311
13100;beaurecueil;43.521870777;5.546077752
13440;cabannes;43.858397376;4.958194081
13480;cabries;43.449756902;5.349599278
13350;charleval;43.721134572;5.245429708
13220;chateauneuf les martigues;43.386142986;5.147657914
13600;la ciotat;43.192551743;5.612770934
13820;ensues la redonne;43.353803023;5.199321433
13810;eygalieres;43.762101604;4.952184965
13710;fuveau;43.459708979;5.553450411
13450;grans;43.614263657;5.045519726
13118;istres;43.550505683;4.950589268
13680;lancon provence;43.575979546;5.159318842
13370;mallemort;43.728669476;5.18355746
13650;meyrargues;43.624133454;5.523198888
13660;orgon;43.779537485;5.023722987
13821;la penne sur huveaune;43.27661322;5.51871163
13170;les pennes mirabeau;43.402925406;5.315756939
13870;rognonas;43.900188476;4.798788362
13830;roquefort la bedoule;43.251128953;5.629565904
13670;st andiol;43.830524399;4.950196347
13760;st cannat;43.613572792;5.306926325
13610;st esteve janson;43.692541694;5.389600541
13103;st etienne du gres;43.785016131;4.735487141
13210;st remy de provence;43.783286385;4.853300341
13560;senas;43.744641026;5.087392063
13240;septemes les vallons;43.393307784;5.380786979
13100;le tholonet;43.519899658;5.50832654
13880;velaux;43.523915071;5.249376461
13122;ventabren;43.542076484;5.306136441
13111;coudoux;43.56033225;5.254538289
13003;marseille;43.311799717;5.379369698
13010;marseille;43.27512533;5.427737029
13090;aix en provence;43.536112304;5.398630399
13290;aix en provence;43.536112304;5.398630399
13540;aix en provence;43.536112304;5.398630399
13123;arles;43.546935152;4.661799679
13200;arles;43.546935152;4.661799679
13280;arles;43.546935152;4.661799679
13400;aubagne;43.29362258;5.563232443
13620;carry le rouet;43.342655918;5.154151649
13250;cornillon confoux;43.578600602;5.076722023
13112;la destrousse;43.376874037;5.598494392
13800;istres;43.550505683;4.950589268
13490;jouques;43.633231207;5.656549983
13550;noves;43.858835012;4.899484713
13860;peyrolles en provence;43.628438272;5.577127616
13380;plan de cuques;43.366506701;5.464856433
13340;rognac;43.496969737;5.231164978
13360;roquevaire;43.343598243;5.5977055270000005
13100;st marc jaumegarde;43.556466723;5.522281569
13730;st victoret;43.414001784;5.253281235
13960;sausset les pins;43.345494951;5.117889047
13150;tarascon;43.794219007;4.686203242
13670;verquieres;43.838554183;4.919085655
13007;marseille;43.281503499;5.3591154880000005
13011;marseille;43.288326447;5.483674741
13012;marseille;43.308023858;5.439626749
13014;marseille;43.344765547;5.393158616
13130;berre l etang;43.503561063;5.160358477
13150;boulbon;43.867948414;4.697359608
13260;cassis;43.223157649;5.550671108
13990;fontvieille;43.723223343;4.722458135
13690;graveson;43.854050821;4.76721401
13113;lamanon;43.705102322;5.088833335
